Method:,Hadamard 1,,
Host Date-Time:,3/6/25 @ 14:3:36,,
Header Version:,1,,
System Temp (C):,35.39,,
Detector Temp (C):,8.41,,
Humidity (%):,42.05,,
Lamp PD:,839,,
Shift Vector Coefficients:,-4.89164,0.0410715,-8.62071e-05,,
Pixel to Wavelength Coefficients:,1760.03,-0.919718,-0.000239131,,
Serial Number:,B50R020,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,256,,
Num Repeats:,6,,
PGA Gain:,16,,
Total Measurement Time in sec:,  3.040,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.685534,0.108543,23799.000000,18536.000000
904.266754,0.116438,25364.000000,19399.000000
908.134996,0.116352,27576.000000,21095.000000
911.998935,0.123189,29894.000000,22511.000000
915.858568,0.126836,32724.000000,24436.000000
919.713898,0.133686,36376.000000,26738.000000
922.281726,0.136958,39250.000000,28634.000000
926.129882,0.133481,43914.000000,32294.000000
929.973733,0.134071,48892.000000,35906.000000
933.813280,0.130256,53638.000000,39739.000000
937.648523,0.123557,57841.000000,43519.000000
940.202960,0.118399,60246.000000,45870.000000
944.031029,0.115229,63572.000000,48757.000000
947.854793,0.111470,66765.000000,51651.000000
951.674253,0.109592,69827.000000,54254.000000
955.489408,0.107757,72893.000000,56876.000000
958.030454,0.108262,75036.000000,58480.000000
961.838436,0.105484,78172.000000,61315.000000
965.642113,0.107143,81389.000000,63595.000000
969.441486,0.106987,84727.000000,66227.000000
973.236555,0.106676,88030.000000,68858.000000
975.764209,0.107708,90118.000000,70324.000000
979.552104,0.108845,93087.000000,72451.000000
983.335694,0.107155,95929.000000,74954.000000
987.114980,0.107869,98552.000000,76877.000000
990.889961,0.107598,100835.000000,78707.000000
993.404224,0.107116,102241.000000,79893.000000
997.172032,0.107055,103945.000000,81236.000000
1000.935535,0.106925,105624.000000,82573.000000
1004.694734,0.105475,106844.000000,83806.000000
1008.449629,0.105096,107715.000000,84563.000000
1010.950501,0.105800,108210.000000,84814.000000
1014.698221,0.104210,108759.000000,85557.000000
1018.441638,0.103695,109062.000000,85897.000000
1022.180749,0.104307,109077.000000,85788.000000
1025.915557,0.102600,108933.000000,86012.000000
1028.403037,0.102602,108751.000000,85868.000000
1032.130671,0.102573,108374.000000,85576.000000
1035.854000,0.101884,107962.000000,85386.000000
1039.573025,0.101476,107469.000000,85076.000000
1043.287746,0.100173,106875.000000,84860.000000
1045.761835,0.100675,106435.000000,84413.000000
1049.469382,0.099727,105804.000000,84096.000000
1053.172624,0.099902,105323.000000,83680.000000
1056.871562,0.099691,104872.000000,83362.000000
1060.566195,0.099911,104443.000000,82979.000000
1063.026893,0.098887,104217.000000,82995.000000
1066.714353,0.097837,103914.000000,82954.000000
1070.397508,0.098108,103910.000000,82899.000000
1074.076359,0.097364,104130.000000,83217.000000
1077.750906,0.097771,104517.000000,83448.000000
1080.198212,0.097514,104837.000000,83753.000000
1083.865585,0.097637,105385.000000,84167.000000
1087.528653,0.096647,106077.000000,84913.000000
1091.187417,0.096956,106910.000000,85519.000000
1094.841877,0.098116,108457.000000,86525.000000
1097.275792,0.097880,109072.000000,87063.000000
1100.923077,0.097301,109386.000000,87430.000000
1104.566059,0.096847,109078.000000,87275.000000
1108.204735,0.097296,108569.000000,86778.000000
1111.839108,0.095414,108290.000000,86931.000000
1114.259632,0.096515,108299.000000,86718.000000
1117.886830,0.096929,108476.000000,86777.000000
1121.509725,0.096585,108991.000000,87258.000000
1125.128315,0.096522,109411.000000,87607.000000
1128.742600,0.099094,109934.000000,87506.000000
1131.149733,0.099297,110223.000000,87695.000000
1134.756844,0.101610,110665.000000,87579.000000
1138.359652,0.103762,111193.000000,87562.000000
1141.958155,0.106395,111721.000000,87446.000000
1145.552353,0.110022,112247.000000,87127.000000
1147.946094,0.111219,112624.000000,87179.000000
1151.533119,0.115100,113253.000000,86886.000000
1155.115839,0.118758,113885.000000,86638.000000
1158.694255,0.123028,114503.000000,86256.000000
1162.268367,0.127883,115248.000000,85852.000000
1164.648717,0.130502,115787.000000,85735.000000
1168.215654,0.134275,116585.000000,85579.000000
1171.778287,0.135769,117349.000000,85844.000000
1175.336616,0.138717,118122.000000,85825.000000
1178.890641,0.141804,119027.000000,85870.000000
1181.257599,0.143322,119633.000000,86006.000000
1184.804450,0.148530,120875.000000,85863.000000
1188.346996,0.151798,121927.000000,85961.000000
1191.885238,0.154984,123086.000000,86144.000000
1195.419176,0.158048,124362.000000,86425.000000
1197.772743,0.160543,125184.000000,86498.000000
1201.299507,0.161733,126391.000000,87093.000000
1204.821966,0.164672,127689.000000,87394.000000
1208.340121,0.166839,129134.000000,87943.000000
1211.853972,0.167549,130588.000000,88788.000000
1214.194147,0.165452,131490.000000,89834.000000
1217.700824,0.162431,132862.000000,91405.000000
1221.203196,0.157462,134275.000000,93440.000000
1224.701264,0.151736,135564.000000,95589.000000
1228.195028,0.146683,136530.000000,97397.000000
1230.521812,0.145863,137168.000000,98037.000000
1234.008402,0.141611,138356.000000,99859.000000
1237.490687,0.138455,139932.000000,101733.000000
1240.968668,0.136082,142075.000000,103857.000000
1244.442345,0.132644,144786.000000,106680.000000
1246.755738,0.131328,146754.000000,108458.000000
1250.222240,0.128432,149745.000000,111409.000000
1253.684439,0.126098,152584.000000,114133.000000
1257.142333,0.125226,155312.000000,116407.000000
1260.595922,0.123249,158032.000000,118986.000000
1262.895924,0.122529,159775.000000,120498.000000
1266.342340,0.121362,162196.000000,122653.000000
1269.784451,0.119558,164471.000000,124891.000000
1273.222258,0.118992,166778.000000,126808.000000
1276.655761,0.119315,168950.000000,128364.000000
1278.942371,0.117575,170246.000000,129868.000000
1282.368700,0.116690,172040.000000,131504.000000
1285.790724,0.116701,173686.000000,132759.000000
1289.208444,0.116123,175253.000000,134135.000000
1292.621860,0.115937,176766.000000,135351.000000
1294.895079,0.115138,177635.000000,136267.000000
1298.301320,0.115608,178745.000000,136970.000000
1301.703258,0.115318,179742.000000,137826.000000
1305.100891,0.114891,180734.000000,138723.000000
1308.494219,0.115606,181607.000000,139164.000000
1310.754047,0.115562,181988.000000,139470.000000
1314.140202,0.116062,182523.000000,139719.000000
1317.522052,0.117474,183070.000000,139683.000000
1320.899598,0.117886,183467.000000,139853.000000
1324.272839,0.119082,183711.000000,139654.000000
1326.519276,0.119269,183777.000000,139644.000000
1329.885344,0.121474,183924.000000,139048.000000
1333.247107,0.123811,183999.000000,138358.000000
1336.604566,0.126173,183938.000000,137562.000000
1338.840480,0.128397,183853.000000,136796.000000
1342.190766,0.131243,183694.000000,135785.000000
1345.536746,0.134660,183453.000000,134544.000000
1348.878423,0.137889,182999.000000,133217.000000
